cpus=12
 template_target-851439 [006] ...1. 1990798.410884: funcgraph_entry:        0.753 us   |  mutex_unlock();
          <idle>-0     [011] d..2. 1990798.410992: funcgraph_entry:                   |  irq_enter_rcu() {
          <idle>-0     [004] d..2. 1990798.410993: funcgraph_exit:         0.628 us   |  }
          <idle>-0     [008] d.h2. 1990798.410993: funcgraph_entry:                   |  irq_exit_rcu() {
          <idle>-0     [002] d.h2. 1990798.410993: funcgraph_entry:                   |  irq_exit_rcu() {
          <idle>-0     [011] d.h2. 1990798.410993: funcgraph_exit:         0.872 us   |  }
          <idle>-0     [004] d..2. 1990798.410993: funcgraph_entry:        0.396 us   |  rcu_nocb_flush_deferred_wakeup();
          <idle>-0     [011] d.h2. 1990798.410994: funcgraph_entry:                   |  __sysvec_call_function_single() {
          <idle>-0     [004] d..2. 1990798.410994: funcgraph_entry:        0.416 us   |  cpuidle_get_cpu_driver();
          <idle>-0     [001] d.h2. 1990798.410995: funcgraph_exit:       + 18.207 us  |  }
          <idle>-0     [007] d.h2. 1990798.410995: funcgraph_exit:       + 16.599 us  |  }
          <idle>-0     [004] d..2. 1990798.410995: funcgraph_entry:                   |  cpuidle_not_available() {
          <idle>-0     [008] d..2. 1990798.410995: funcgraph_exit:         2.362 us   |  }
          <idle>-0     [004] d..2. 1990798.410996: funcgraph_exit:         0.395 us   |  }
          <idle>-0     [007] d.h2. 1990798.410996: funcgraph_entry:                   |  irq_exit_rcu() {
          <idle>-0     [001] d.h2. 1990798.410996: funcgraph_entry:                   |  irq_exit_rcu() {
          <idle>-0     [004] d..2. 1990798.410996: funcgraph_entry:                   |  cpuidle_select() {
          <idle>-0     [008] ...2. 1990798.410998: funcgraph_entry:                   |  cpuidle_reflect() {
          <idle>-0     [007] d..2. 1990798.410998: funcgraph_exit:         2.238 us   |  }
          <idle>-0     [008] ...2. 1990798.410999: funcgraph_exit:         1.526 us   |  }
          <idle>-0     [008] ...2. 1990798.411000: funcgraph_entry:                   |  arch_cpu_idle_exit() {
          <idle>-0     [007] ...2. 1990798.411000: funcgraph_entry:                   |  cpuidle_reflect() {
          <idle>-0     [004] d..2. 1990798.411001: funcgraph_exit:         4.436 us   |  }
          <idle>-0     [008] ...2. 1990798.411001: funcgraph_exit:         0.739 us   |  }
          <idle>-0     [004] d..2. 1990798.411001: funcgraph_entry:                   |  tick_nohz_idle_stop_tick() {
          <idle>-0     [007] ...2. 1990798.411002: funcgraph_exit:         1.464 us   |  }
          <idle>-0     [008] d..2. 1990798.411002: funcgraph_entry:                   |  arch_cpu_idle_enter() {
          <idle>-0     [007] ...2. 1990798.411003: funcgraph_entry:                   |  arch_cpu_idle_exit() {
          <idle>-0     [011] dNh2. 1990798.411003: funcgraph_exit:         8.931 us   |  }
          <idle>-0     [008] d..2. 1990798.411003: funcgraph_exit:         1.264 us   |  }
          <idle>-0     [011] dNh2. 1990798.411004: funcgraph_entry:                   |  irq_exit_rcu() {
          <idle>-0     [007] ...2. 1990798.411004: funcgraph_exit:         0.735 us   |  }
          <idle>-0     [008] d..2. 1990798.411004: funcgraph_entry:                   |  rcu_nocb_flush_deferred_wakeup() {
          <idle>-0     [011] dN.2. 1990798.411004: funcgraph_exit:         0.821 us   |  }
          <idle>-0     [007] d..2. 1990798.411005: funcgraph_entry:                   |  arch_cpu_idle_enter() {
          <idle>-0     [008] d..2. 1990798.411005: funcgraph_exit:         0.718 us   |  }
          <idle>-0     [011] .N.2. 1990798.411006: funcgraph_entry:                   |  cpuidle_reflect() {
          <idle>-0     [008] d..2. 1990798.411006: funcgraph_entry:                   |  cpuidle_get_cpu_driver() {
          <idle>-0     [007] d..2. 1990798.411006: funcgraph_exit:         1.361 us   |  }
          <idle>-0     [011] .N.2. 1990798.411007: funcgraph_exit:         0.809 us   |  }
          <idle>-0     [008] d..2. 1990798.411007: funcgraph_exit:         0.740 us   |  }
          <idle>-0     [007] d..2. 1990798.411007: funcgraph_entry:                   |  rcu_nocb_flush_deferred_wakeup() {
          <idle>-0     [011] .N.2. 1990798.411007: funcgraph_entry:        0.413 us   |  arch_cpu_idle_exit();
          <idle>-0     [004] d..2. 1990798.411008: funcgraph_exit:         6.497 us   |  }
          <idle>-0     [007] d..2. 1990798.411008: funcgraph_exit:         0.708 us   |  }
          <idle>-0     [011] .N.2. 1990798.411008: funcgraph_entry:                   |  tick_nohz_idle_exit() {
          <idle>-0     [004] d..2. 1990798.411008: funcgraph_entry:                   |  call_cpuidle() {
          <idle>-0     [011] .N.2. 1990798.411009: funcgraph_exit:         0.435 us   |  }
          <idle>-0     [008] d..2. 1990798.411009: funcgraph_entry:                   |  cpuidle_not_available() {
          <idle>-0     [007] d..2. 1990798.411009: funcgraph_entry:                   |  cpuidle_get_cpu_driver() {
          <idle>-0     [008] d..2. 1990798.411009: funcgraph_exit:         1.149 us   |  }
          <idle>-0     [008] d..2. 1990798.411009: funcgraph_entry:                   |  cpuidle_select() {
          <idle>-0     [011] .N.2. 1990798.411010: funcgraph_entry:                   |  flush_smp_call_function_queue() {
          <idle>-0     [007] d..2. 1990798.411010: funcgraph_exit:         1.550 us   |  }
          <idle>-0     [011] .N.2. 1990798.411010: funcgraph_exit:         1.154 us   |  }
          <idle>-0     [007] d..2. 1990798.411011: funcgraph_entry:                   |  cpuidle_not_available() {
          <idle>-0     [011] .N.2. 1990798.411011: funcgraph_entry:                   |  schedule_idle() {
          <idle>-0     [007] d..2. 1990798.411011: funcgraph_exit:         0.141 us   |  }
          <idle>-0     [007] d..2. 1990798.411011: funcgraph_entry:                   |  cpuidle_select() {
     rcu_preempt-16    [011] d..3. 1990798.411012: funcgraph_entry:                   |  finish_task_switch.isra.0() {
          <idle>-0     [002] d..2. 1990798.411012: funcgraph_exit:       + 19.007 us  |  }
     rcu_preempt-16    [011] ...2. 1990798.411012: funcgraph_exit:         0.119 us   |  }
          <idle>-0     [008] d..2. 1990798.411012: funcgraph_exit:         2.817 us   |  }
     rcu_preempt-16    [011] ...1. 1990798.411012: funcgraph_entry:        0.201 us   |  prepare_to_swait_event();
          <idle>-0     [008] d..2. 1990798.411012: funcgraph_entry:                   |  tick_nohz_tick_stopped() {
     rcu_preempt-16    [011] ...1. 1990798.411013: funcgraph_entry:                   |  finish_swait() {
          <idle>-0     [002] ...2. 1990798.411013: funcgraph_entry:                   |  cpuidle_reflect() {
     rcu_preempt-16    [011] ...1. 1990798.411013: funcgraph_exit:         0.143 us   |  }
          <idle>-0     [008] d..2. 1990798.411013: funcgraph_exit:         0.268 us   |  }
          <idle>-0     [007] d..2. 1990798.411013: funcgraph_exit:         1.925 us   |  }
     rcu_preempt-16    [011] ...1. 1990798.411013: funcgraph_entry:                   |  rcu_gp_init() {
          <idle>-0     [007] d..2. 1990798.411013: funcgraph_entry:                   |  tick_nohz_tick_stopped() {
          <idle>-0     [002] ...2. 1990798.411013: funcgraph_exit:         0.435 us   |  }
          <idle>-0     [008] d..2. 1990798.411013: funcgraph_entry:                   |  tick_nohz_idle_retain_tick() {
          <idle>-0     [007] d..2. 1990798.411013: funcgraph_exit:         0.174 us   |  }
          <idle>-0     [007] d..2. 1990798.411013: funcgraph_entry:                   |  tick_nohz_idle_retain_tick() {
          <idle>-0     [002] ...2. 1990798.411013: funcgraph_entry:                   |  arch_cpu_idle_exit() {
          <idle>-0     [008] d..2. 1990798.411013: funcgraph_exit:         0.243 us   |  }
          <idle>-0     [007] d..2. 1990798.411014: funcgraph_exit:         0.163 us   |  }
     rcu_preempt-16    [011] ...1. 1990798.411014: funcgraph_exit:         0.792 us   |  }
          <idle>-0     [002] ...2. 1990798.411014: funcgraph_exit:         0.266 us   |  }
          <idle>-0     [008] d..2. 1990798.411014: funcgraph_entry:                   |  call_cpuidle() {
          <idle>-0     [007] d..2. 1990798.411014: funcgraph_entry:                   |  call_cpuidle() {
     rcu_preempt-16    [011] ...1. 1990798.411014: funcgraph_entry:                   |  rcu_gp_fqs_loop() {
          <idle>-0     [002] d..2. 1990798.411014: funcgraph_entry:        0.382 us   |  arch_cpu_idle_enter();
          <idle>-0     [001] d..2. 1990798.411014: funcgraph_exit:       + 18.774 us  |  }
          <idle>-0     [002] d..2. 1990798.411015: funcgraph_entry:        0.165 us   |  rcu_nocb_flush_deferred_wakeup();
